Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,
15026,Fine Particulate Matter,2013-04-29,10,10,11,11,12,13,14,15,14,12,11,13,11,9,7,6,8,9,8,7,11,10,12,17,
15026,Fine Particulate Matter,2013-04-30,18,12,15,15,10,12,14,15,13,13,10,9,9,8,8,8,6,5,6,7,7,7,7,6,
15026,Fine Particulate Matter,2013-05-01,4,3,3,3,3,3,3,2,3,2,3,4,3,3,3,3,4,4,5,7,9,15,17,13,
15026,Fine Particulate Matter,2013-05-02,12,11,13,12,8,7,7,6,6,6,6,5,6,5,5,5,5,4,4,7,14,23,21,17,
15026,Fine Particulate Matter,2013-05-03,16,10,7,9,14,19,14,7,5,4,3,3,2,2,2,2,4,4,6,10,14,15,15,14,
15026,Fine Particulate Matter,2013-05-04,16,16,16,15,16,16,14,10,7,4,3,2,2,2,2,2,2,2,3,8,8,8,13,14,
15026,Fine Particulate Matter,2013-05-05,17,13,13,14,14,17,24,12,7,5,5,5,4,3,3,3,3,3,5,9,12,9,8,9,
15026,Fine Particulate Matter,2013-05-06,12,12,13,15,18,18,19,16,12,10,9,7,7,6,5,4,3,2,2,3,6,8,11,18,
15026,Fine Particulate Matter,2013-05-07,21,24,22,21,23,23,22,15,10,6,5,5,4,4,4,3,2,2,2,4,8,10,11,13,
15026,Fine Particulate Matter,2013-05-08,12,10,11,11,12,14,14,13,10,7,5,6,6,7,6,6,8,10,7,6,6,6,7,9,
15026,Fine Particulate Matter,2013-05-09,11,11,11,11,13,10,15,13,10,6,5,4,4,4,3,4,3,4,5,10,19,22,22,24,
15026,Fine Particulate Matter,2013-05-10,22,19,14,12,13,14,16,15,16,18,14,13,14,14,13,17,21,9,9,7,5,4,3,3,
15026,Fine Particulate Matter,2013-05-11,3,3,3,3,4,5,7,6,6,6,6,8,10,11,8,30,16,16,24,19,13,2,1,1,
15026,Fine Particulate Matter,2013-05-12,1,1,2,2,2,3,2,1,1,1,1,1,1,1,2,2,2,3,3,3,2,2,2,2,
15026,Fine Particulate Matter,2013-05-13,2,2,2,2,2,2,2,2,3,4,4,3,3,2,2,2,2,4,5,7,12,15,13,12,
15026,Fine Particulate Matter,2013-05-14,11,11,9,9,9,8,9,7,5,5,7,8,9,10,10,12,13,13,13,13,14,16,17,18,
15026,Fine Particulate Matter,2013-05-15,18,16,15,15,10,4,5,4,3,3,4,5,4,4,4,3,4,4,4,5,9999,9999,9999,9999,
15026,Fine Particulate Matter,2013-05-16,9999,9999,9999,9999,9,10,10,5,4,4,3,4,3,2,2,2,2,3,3,5,6,8,11,7,
